date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:48:02	73906/73906	---M-Z	200	added ('OK')	text/html	etag:%22120b2-5e8f3a96-fa40d951ad692e2;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html	D:/mes%20templates/portfolioPrincipale/cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html	(from )
13:48:02	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2015%20Dec%202022%2012:48:01%20GMT	http://cvresumetemplate.com/robots.txt		(from )
13:48:03	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%2247e-5c5038be-f60f340e2ec01b74;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/favicon.ico	D:/mes%20templates/portfolioPrincipale/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/favicon.ico	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:48:03	99/99	---M--	200	added ('OK')	image/png	etag:%2263-5c5038ee-1cd397732f88f0c7;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon.png	D:/mes%20templates/portfolioPrincipale/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:48:03	86/86	---M--	200	added ('OK')	image/png	etag:%2256-5c5038ee-b1ba49552deaa63a;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-72x72.png	D:/mes%20templates/portfolioPrincipale/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-72x72.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:48:04	94/94	---M--	200	added ('OK')	image/png	etag:%225e-5c5038ee-806b43171c9bfe8e;;;%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-114x114.png	D:/mes%20templates/portfolioPrincipale/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/images/apple-icon-114x114.png	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:48:04	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%22791c-5bc4c7b8-df0862dde0ce7b8b;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/icons/font-awesome-4.7.0/css/font-awesome.min.css	D:/mes%20templates/portfolioPrincipale/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/icons/font-awesome-4.7.0/css/font-awesome.min.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:48:04	144877/144877	---M-Z	200	added ('OK')	text/css	etag:%22235ed-5bb251ec-ea59fd6b33d8a228;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/bootstrap.min.css	D:/mes%20templates/portfolioPrincipale/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/bootstrap.min.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:48:05	43977/43977	---M-Z	200	added ('OK')	text/css	etag:%22abc9-5bb25670-1f0eecb87286a37b;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/animate.css	D:/mes%20templates/portfolioPrincipale/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/animate.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
13:48:06	4614/4614	---M-Z	200	added ('OK')	text/css	etag:%221206-5bb25670-fa93d8ecf3d01631;gz%22	http://cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/owl.css	D:/mes%20templates/portfolioPrincipale/cvresumetemplate.com/maha-personal-cv-resume-html-template/assets/plugins/css/owl.css	(from http://cvresumetemplate.com/maha-personal-cv-resume-html-template/home-two.html)
